name,address,store_number,lat,lng,status
Carmel Mountain,"12350 CARMEL MOUNTAIN RD, SAN DIEGO, CA 92128",#452,32.987572,-117.078186,inactive
Chico,"2100 DR MLK JR PKWY, CHICO, CA 95928",#1011,39.721081,-121.811516,inactive
Chino Hills,"13111 PEYTON DR, CHINO HILLS, CA 91709",#473,34.014626,-117.741333,inactive
Chula Vista,"1130 BROADWAY, CHULA VISTA, CA 91911",#781,32.60854,-117.083855,inactive
Citrus Heights,"7000 AUBURN BLVD, CITRUS HEIGHTS, CA 95621",#771,38.689457,-121.297188,inactive
City Of Industry,"17550 CASTLETON ST, CITY OF INDUSTRY, CA 91748",#679,33.994823,-117.922592,inactive
Clovis,"2270 CLOVIS AVE, CLOVIS, CA 93612",#1360,36.805958,-119.702797,inactive
Commerce Business Center,"6333 TELEGRAPH RD, COMMERCE, CA 90040",#569,33.994343,-118.141029,active
Concord,"2400 MONUMENT BLVD, CONCORD, CA 94520",#663,37.957848,-122.033104,inactive
Corona,"480 N MCKINLEY ST, CORONA, CA 92879",#432,33.886864,-117.524536,inactive
Culver City,"13463 WASHINGTON BLVD, MARINA DEL REY, CA 90292",#479,33.992092,-118.445328,inactive
Cypress CA,"5401 KATELLA AVE, CYPRESS, CA 90720",#748,33.804523,-118.039574,inactive
Danville,"3150 FOSTORIA WAY, DANVILLE, CA 94526",#21,37.782757,-121.973366,inactive
Eastvale,"5030 HAMNER AVE, EASTVALE, CA 91752",#1317,33.996998,-117.55619,inactive
El Camino,"1600 EL CAMINO REAL, SOUTH SAN FRANCISCO, CA 94080",#475,37.663979,-122.44529,inactive
El Centro,"2030 N IMPERIAL AVE, EL CENTRO, CA 92243",#121,32.812019,-115.573349,inactive
Elk Grove,"7400 ELK GROVE BLVD, ELK GROVE, CA 95757",#1274,38.405804,-121.41349,inactive
Eureka,"1006 W WABASH AVE, EUREKA, CA 95501",#125,40.792095,-124.183006,inactive
Fairfield,"5101 BUSINESS CENTER DR, FAIRFIELD, CA 94534",#453,38.21368,-122.145309,inactive
Folsom,"1800 CAVITT DR, FOLSOM, CA 95630",#765,38.645206,-121.109596,inactive
Fontana,"16505 SIERRA LAKES PKWY, FONTANA, CA 92336",#627,34.137325,-117.443359,inactive
Foster City,"1001 METRO CENTER BLVD, FOSTER CITY, CA 94404",#147,37.561825,-122.2743,inactive
Fountain Valley,"17900 NEWHOPE ST, FOUNTAIN VALLEY, CA 92708",#411,33.703365,-117.931587,inactive
Fremont,"43621 PACIFIC COMMONS BLVD, FREMONT, CA 94538",#778,37.501621,-121.973267,inactive
Fresno,"4500 W SHAW AVE, FRESNO, CA 93722",#31,36.80991,-119.874107,inactive
Fullerton,"900 S HARBOR BLVD, FULLERTON, CA 92832",#418,33.862499,-117.921928,inactive
Garden Grove,"11000 GARDEN GROVE BLVD, GARDEN GROVE, CA 92843",#126,33.772709,-117.940857,inactive
Gilroy,"7251 CAMINO ARROYO, GILROY, CA 95020",#760,37.008339,-121.556602,inactive
Goleta,"7095 MARKET PLACE DR, GOLETA, CA 93117",#474,34.427818,-119.87484,inactive
Great Oaks,"6898 RALEIGH ROAD, SAN JOSE, CA 95119",#1267,37.243496,-121.784866,inactive
Hanford,"2395 E LACEY BLVD, HANFORD, CA 93230",#1244,36.325958,-119.606697,inactive
Hawthorne,"14501 HINDRY AVENUE, HAWTHORNE, CA 90250",#671,33.898518,-118.372452,inactive
Hawthorne Business Center,"12530 PRAIRIE AVE, HAWTHORNE, CA 90250",#564,33.918663,-118.342628,active
Hayward,"28505 HESPERIAN BLVD, HAYWARD, CA 94545",#1061,37.616249,-122.0886,inactive
Hayward Business Center,"22330 HATHAWAY AVE, HAYWARD, CA 94541",#823,37.667114,-122.103516,inactive
Highland,"28000 GREENSPOT RD, HIGHLAND, CA 92346",#1715,34.10843,-117.16801,inactive
Huntington Beach,"7562 CENTER AVE, HUNTINGTON BEACH, CA 92647",#1110,33.732624,-117.996986,inactive
Inglewood,"3560 W CENTURY BLVD, INGLEWOOD, CA 90303",#769,33.94326,-118.33387,inactive
Irvine,"115 TECHNOLOGY DR, IRVINE, CA 92618",#454,33.660213,-117.745544,inactive
La Habra,"101 N BEACH BLVD, LA HABRA, CA 90631",#777,33.932907,-117.969696,inactive
La Mesa,"8125 FLETCHER PKWY, LA MESA, CA 91942",#469,32.773975,-117.024315,inactive
La Quinta,"79795 HIGHWAY 111, LA QUINTA, CA 92253",#638,33.704212,-116.273071,inactive
Laguna Marketplace,"27220 HEATHER RIDGE RD, LAGUNA NIGUEL, CA 92677",#690,33.566708,-117.710945,inactive
Laguna Niguel,"27972 CABOT RD, LAGUNA NIGUEL, CA 92677",#28,33.554951,-117.676674,inactive
Lake Elsinore,"29315 CENTRAL AVE, LAKE ELSINORE, CA 92532",#746,33.696342,-117.339195,inactive
Lakewood,"340 LAKEWOOD CENTER MALL, LAKEWOOD, CA 90712",#1050,33.850437,-118.136978,inactive
Lancaster CA,"1141 W AVENUE L, LANCASTER, CA 93534",#762,34.660812,-118.148994,inactive
Livermore,"2800 INDEPENDENCE DR, LIVERMORE, CA 94551",#146,37.702595,-121.812279,inactive
Lodi,"2680 REYNOLDS RANCH PKWY, LODI, CA 95240",#1091,38.100597,-121.263145,inactive
Loomis,"4101 SIERRA COLLEGE BLVD, LOOMIS, CA 95650",#1371,38.809429,-121.202538,inactive
Los Feliz,"2901 LOS FELIZ BLVD, LOS ANGELES, CA 90039",#130,34.12899,-118.263908,inactive
Manteca,"2440 DANIELS ST, MANTECA, CA 95337",#1031,37.783859,-121.259544,inactive
Marysville CA,"1214 N BEALE RD, LINDA, CA 95901",#1658,39.123615,-121.573364,inactive
Merced,"1445 R ST, MERCED, CA 95340",#142,37.302998,-120.49704,inactive
Mission Valley,"2345 FENTON PKWY, SAN DIEGO, CA 92108",#488,32.782478,-117.128555,inactive
Modesto,"3801 PELANDALE AVE, MODESTO, CA 95356",#661,37.700626,-121.065651,inactive
Montclair,"9404 CENTRAL AVE, MONTCLAIR, CA 91763",#686,34.082443,-117.690918,inactive
Monterey Park,"2000 MARKET PLACE DR, MONTEREY PARK, CA 91755",#1318,34.037319,-118.104645,inactive
Morena,"4605 MORENA BLVD, SAN DIEGO, CA 92117",#401,32.822567,-117.225029,inactive
Moreno Valley,"12700 DAY ST, MORENO VALLEY, CA 92553",#455,33.935562,-117.276573,inactive
Mountain View,"1000 N RENGSTORFF AVE, MOUNTAIN VIEW, CA 94043",#143,37.420677,-122.095062,inactive
Murrieta,"35875 WARM SPRINGS PARKWAY, MURRIETA, CA 92563",#1390,33.600807,-117.17099,inactive
N Fresno,"7100 N ABBY ST, FRESNO, CA 93720",#657,36.839283,-119.787872,inactive
NE San Jose,"1709 AUTOMATION PKWY, SAN JOSE, CA 95131",#1004,37.390007,-121.884224,inactive
Napa,"280 RIVERSOUND WAY, NAPA, CA 94558",#1679,38.27659,-122.31221,inactive
Natomas,"3881 E COMMERCE WAY, SACRAMENTO, CA 95834",#1674,38.639721,-121.52169,inactive
Newark,"350 NEWPARK MALL, NEWARK, CA 94560",#1660,37.52549,-121.99826,inactive
Northridge,"8810 TAMPA AVE, NORTHRIDGE, CA 91324",#437,34.230766,-118.550194,inactive
Norwalk CA,"12324 HOXIE AVE, NORWALK, CA 90650",#410,33.919846,-118.102196,inactive
Novato,"300 VINTAGE WAY, NOVATO, CA 94945",#141,38.087433,-122.550491,inactive
Ontario Business Center,"3680 E GUASTI RD, ONTARIO, CA 91761",#947,34.064117,-117.572571,active
Ontario Home Showroom,"5640 EAST AIRPORT DR, ONTARIO, CA 91761",#1700,34.06272,-117.52848,inactive
Oxnard,"2001 E VENTURA BLVD, OXNARD, CA 93036",#420,34.225224,-119.14827,inactive
Pacoima,"13550 PAXTON ST, PACOIMA, CA 91331",#1071,34.271908,-118.426788,inactive
Palm Desert,"72800 DINAH SHORE DR, PALM DESERT, CA 92211",#441,33.804276,-116.389519,inactive
Pleasanton,"7200 JOHNSON DRIVE, PLEASANTON, CA 94588",#1341,37.695141,-121.918404,inactive
Poway,"12155 TECH CENTER DR, POWAY, CA 92064",#775,32.937069,-117.032898,inactive
Rancho Cordova,"11260 WHITE ROCK RD, RANCHO CORDOVA, CA 95742",#438,38.587749,-121.263847,inactive
Rancho Cucamonga,"11800 4TH ST, RANCHO CUCAMONGA, CA 91730",#678,34.078968,-117.548119,inactive
Rancho Del Rey,"895 E H ST, CHULA VISTA, CA 91910",#460,32.637772,-117.021996,inactive
Redding,"4805 BECHELLI LANE, REDDING, CA 96002",#1445,40.541794,-122.353294,inactive
Redwood City,"2300 MIDDLEFIELD RD, REDWOOD CITY, CA 94063",#1042,37.478737,-122.217384,inactive
Richmond CA,"4801 CENTRAL AVENUE, RICHMOND, CA 94804",#482,37.897999,-122.322624,inactive
Riverbank,"2015 CLARIBEL ROAD, RIVERBANK, CA 95367",#1683,37.72255,-120.95318,inactive
Rohnert Park,"5901 REDWOOD DR, ROHNERT PARK, CA 94928",#659,38.353104,-122.717422,inactive
Roseville CA,"6750 STANFORD RANCH RD, ROSEVILLE, CA 95678",#29,38.780041,-121.267944,inactive
S San Francisco,"451 S AIRPORT BLVD, SOUTH SAN FRANCISCO, CA 94080",#422,37.642437,-122.400734,inactive
S San Francisco Business Center,"900 DUBUQUE AVE, SOUTH SAN FRANCISCO, CA 94080",#654,37.660946,-122.401421,inactive
SE San Diego,"650 GATEWAY CENTER DR, SAN DIEGO, CA 92102",#483,32.712746,-117.116142,inactive
SW Bakersfield,"4900 PANAMA LN, BAKERSFIELD, CA 93313",#643,35.297764,-119.058533,inactive
Sacramento,"7981 E STOCKTON BLVD, SACRAMENTO, CA 95823",#464,38.468029,-121.414017,inactive
Sacramento Business Center,"3360 EL CAMINO AVE, SACRAMENTO, CA 95821",#893,38.607849,-121.385979,inactive
Salinas,"1339 N DAVIS RD, SALINAS, CA 93907",#472,36.703957,-121.668793,inactive
San Bernardino,"1099 E HOSPITALITY LN, SAN BERNARDINO, CA 92408",#478,34.067829,-117.262527,inactive
San Diego Business Center,"7803 OTHELLO AVE, SAN DIEGO, CA 92111",#578,32.816563,-117.153603,inactive
San Dimas,"520 N LONE HILL AVE, SAN DIMAS, CA 91773",#1015,34.111832,-117.825935,inactive
San Francisco,"450 10TH ST, SAN FRANCISCO, CA 94103",#144,37.770481,-122.41111,inactive
San Jose,"2201 SENTER RD, SAN JOSE, CA 95112",#148,37.309532,-121.850014,inactive
San Jose Business Center,"2376 S EVERGREEN LOOP, SAN JOSE, CA 95122",#848,37.318939,-121.810722,inactive
San Juan Capistrano,"33961 DOHENY PARK RD, SAN JUAN CAPISTRANO, CA 92675",#429,33.470024,-117.677521,inactive
San Leandro,"1900 DAVIS ST, SAN LEANDRO, CA 94577",#118,37.720776,-122.181824,inactive
San Luis Obispo,"1540 FROOM RANCH WAY, SAN LUIS OBISPO, CA 93405",#741,35.25211,-120.691628,inactive
San Marcos,"725 CENTER DRIVE, SAN MARCOS, CA 92069",#1080,33.136147,-117.125366,inactive
San Marcos Business Center,"150 S. BENT AVE, SAN MARCOS, CA 92078",#1581,33.137241,-117.183479,inactive
Sand City,"801 TIOGA AVE, SAND CITY, CA 93955",#131,36.617367,-121.845299,inactive
Santa Clara,"1601 COLEMAN AVE, SANTA CLARA, CA 95050",#129,37.357021,-121.938843,inactive
Santa Clarita,"18649 VIA PRINCESSA, SANTA CLARITA, CA 91387",#447,34.404659,-118.461647,inactive
Santa Cruz,"220 SYLVANIA AVE, SANTA CRUZ, CA 95060",#149,36.985107,-122.03363,inactive
Santa Maria,"1700 S. BRADLEY RD., SANTA MARIA, CA 93454",#1275,34.926956,-120.419632,inactive
Santa Rosa,"1900 SANTA ROSA AVE, SANTA ROSA, CA 95407",#41,38.420151,-122.711426,inactive
Santee,"101 TOWN CENTER PKWY, SANTEE, CA 92071",#403,32.840702,-116.986992,inactive
Signal Hill,"2200 E WILLOW ST, SIGNAL HILL, CA 90755",#424,33.803082,-118.164856,inactive
Simi Valley,"2660 PARK CENTER DR, SIMI VALLEY, CA 93065",#128,34.284115,-118.796272,inactive
Stockton,"1616 E HAMMER LN, STOCKTON, CA 95210",#38,38.018799,-121.292732,inactive
Sunnyvale,"150 LAWRENCE STATION RD, SUNNYVALE, CA 94086",#423,37.371918,-121.994453,inactive
Temecula,"26610 YNEZ RD, TEMECULA, CA 92591",#491,33.521976,-117.155693,inactive
Torrance,"2640 LOMITA BLVD, TORRANCE, CA 90505",#1202,33.806602,-118.333694,inactive
Tracy,"3250 W GRANT LINE RD, TRACY, CA 95304",#658,37.750259,-121.475418,inactive
Turlock,"2955 N TEGNER RD, TURLOCK, CA 95380",#782,37.518768,-120.888962,inactive
Tustin,"2700 PARK AVE, TUSTIN, CA 92782",#1001,33.700123,-117.82283,inactive
Tustin Ranch,"2655 EL CAMINO REAL, TUSTIN, CA 92782",#122,33.728458,-117.795784,inactive
Ukiah,"1275 AIRPORT PARK BLVD, UKIAH, CA 95482",#1297,39.126591,-123.197136,inactive
Vacaville,"1051 HUME WAY, VACAVILLE, CA 95687",#694,38.350582,-121.980148,inactive
Vallejo,"198 PLAZA DR, VALLEJO, CA 94591",#132,38.133247,-122.213379,inactive
Van Nuys,"6100 SEPULVEDA BLVD, VAN NUYS, CA 91411",#48,34.180759,-118.464371,inactive
Victorville,"14555 VALLEY CENTER DR, VICTORVILLE, CA 92395",#1010,34.514969,-117.318573,inactive
Visalia,"1405 W CAMERON AVE, VISALIA, CA 93277",#1017,36.293156,-119.306091,inactive
